Designator,Mid X,Mid Y,Rotation,Layer
A1,400.7104,-37.8969,0.0,top
C1,28.956,-52.9336,0.0,bottom
C10,238.87,-52.48,0.0,bottom
C11,259.6025,-55.18,0.0,bottom
C12,276.78,-54.41,0.0,bottom
C13,296.14,-54.4,0.0,bottom
C14,319.25,-52.494,0.0,bottom
C15,338.5325,-52.45,0.0,bottom
C16,358.0892,-54.5084,0.0,bottom
C17,40.95,-80.47,180.0,bottom
C18,60.31,-80.41,180.0,bottom
C19,78.65,-80.49,180.0,bottom
C2,68.06,-53.15,0.0,bottom
C20,98.5531,-80.4672,180.0,bottom
C21,116.92,-81.79,180.0,bottom
C22,136.2775,-81.91,180.0,bottom
C23,154.5421,-81.571,180.0,bottom
C24,173.6975,-79.33,180.0,bottom
C25,192.7875,-82.11,180.0,bottom
C26,212.5575,-81.14,180.0,bottom
C27,231.4975,-81.11,180.0,bottom
C28,250.5175,-81.14,180.0,bottom
C29,268.5775,-81.79,180.0,bottom
C3,88.47,-55.72,0.0,bottom
C30,297.418,-81.4845,180.0,bottom
C31,331.5075,-80.41,180.0,bottom
C32,350.3575,-80.16,180.0,bottom
C33,368.79,-81.2775,270.0,bottom
C34,35.5,-100.0175,90.0,bottom
C35,58.52,-99.97,90.0,bottom
C36,78.13,-100.1125,90.0,bottom
C37,95.3,-100.08,90.0,bottom
C38,115.96,-99.9025,90.0,bottom
C39,134.87,-100.06,90.0,bottom
C4,105.6132,-54.5592,0.0,bottom
C40,153.59,-99.8,90.0,bottom
C41,173.38,-100.36,90.0,bottom
C42,191.71,-100.07,90.0,bottom
C43,210.44,-99.79,0.0,bottom
C44,228.89,-100.93,0.0,bottom
C45,250.1396,-103.138,270.0,bottom
C46,268.21,-100.72,0.0,bottom
C47,291.28,-100.86,0.0,bottom
C48,321.52,-102.36,0.0,bottom
C49,338.41,-100.88,0.0,bottom
C5,124.85,-54.56,0.0,bottom
C50,358.15,-100.09,0.0,bottom
C51,48.9175,-118.44,180.0,bottom
C52,74.86,-117.31,90.0,bottom
C53,92.83,-117.6925,90.0,bottom
C54,112.14,-117.31,90.0,bottom
C55,132.215,-118.28,180.0,bottom
C56,151.1975,-118.56,180.0,bottom
C57,169.045,-119.29,180.0,bottom
C58,188.92,-117.36,180.0,bottom
C59,207.41,-118.163,180.0,bottom
C6,153.91,-53.22,0.0,bottom
C60,227.08,-118.33,180.0,bottom
C61,246.462,-118.2296,180.0,bottom
C62,264.045,-119.29,180.0,bottom
C63,294.92,-119.29,180.0,bottom
C64,41.2485,-138.938,0.0,bottom
C65,72.79,-140.18,0.0,bottom
C66,91.38,-138.67,0.0,bottom
C67,111.2025,-140.16,0.0,bottom
C68,128.93,-138.76,0.0,bottom
C69,147.94,-138.8,0.0,bottom
C7,172.1325,-53.2,0.0,bottom
C70,167.3625,-138.71,0.0,bottom
C71,185.99,-138.79,0.0,bottom
C72,210.83,-141.06,180.0,bottom
C73,224.37,-138.73,0.0,bottom
C74,243.3,-138.55,0.0,bottom
C75,280.04,-139.81,0.0,bottom
C76,338.36,-138.89,0.0,bottom
C77,44.3484,-156.5148,180.0,bottom
C78,67.83,-156.47,180.0,bottom
C79,92.1004,-156.5148,180.0,bottom
C8,191.1593,-53.086,0.0,bottom
C80,162.86,-156.52,180.0,bottom
C81,234.28,-156.59,180.0,bottom
C82,258.4196,-156.464,180.0,bottom
C83,282.17,-156.56,180.0,bottom
C84,305.48,-156.18,180.0,bottom
C85,331.65,-156.37,180.0,bottom
C86,350.5475,-156.35,180.0,bottom
C87,369.5275,-156.51,180.0,bottom
C9,209.43,-53.45,0.0,bottom
D1,363.265,-52.56,0.0,bottom
D10,178.35,-52.476,0.0,bottom
D11,159.01,-52.556,0.0,bottom
D12,130.58,-52.576,0.0,bottom
D13,111.33,-52.596,0.0,bottom
D14,92.46,-52.586,0.0,bottom
D15,73.26,-52.59,0.0,bottom
D16,35.77,-52.586,0.0,bottom
D17,34.66,-81.104,180.0,bottom
D18,54.15,-81.16,180.0,bottom
D19,72.31,-81.2,180.0,bottom
