Footprint                                  , Quantity, Price          , Link
RaspberryPi_Pico_Common_THT                , 1       , $2.00          , https://www.aliexpress.com/item/1005003371056277.html?spm=a2g0o.productlist.0.0.5cf3D0ZbD0Zb9S&mp=1
0603 0.1uF capacitor                       , 100     , $0.89          , https://www.aliexpress.com/item/32966526545.html?spm=a2g0o.productlist.main.2.20a07d86UWt03p&algo_pvid=6ff36ed9-9732-4742-aa34-4ae93c5c5b18&pdp_ext_f=%7B%22order%22%3A%22789%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A
SK6812-MINI-E                              , 100     , $10.28         , https://www.aliexpress.com/item/1005005193716172.html?spm=a2g0o.productlist.main.1.6556560bdOups3&algo_pvid=3ebff4ca-62a5-4523-891a-e97203be7f5b&pdp_ext_f=%7B%22order%22%3A%22188%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A
1N4148 Diode                               , 100     , $1.20          , https://www.aliexpress.com/item/4000142272546.html?spm=a2g0o.productlist.main.2.49752vMa2vMaAZ&algo_pvid=0dbd048a-42a6-46d8-b9a8-fbb82007b399&pdp_ext_f=%7B%22order%22%3A%221499%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A
SSD1306 OLED                               , 1       , $1.79          , https://www.aliexpress.com/item/1005006141235306.html?spm=a2g0o.productlist.main.1.4d2fOWYNOWYN3l&algo_pvid=1addb2fd-b379-4391-94c0-4da7bb9c6816&pdp_ext_f=%7B%22order%22%3A%225449%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A
Cherry MX Switch                           , 90      , $13.08         , https://www.aliexpress.com/item/1005006578935785.html?spm=a2g0o.cart.0.0.31c938daEM26BY&mp=1
DUROCK V3 Stabilizer PCB Mount Screw in    , 1 Set   , $15.59         , https://www.aliexpress.com/item/1005001632672798.html?spm=a2g0o.productlist.main.3.2eaaT8C8T8C8BB&algo_pvid=22f613cb-6fe9-4e5a-8ee4-e1422765126f&pdp_ext_f=%7B%22order%22%3A%22414%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A
Womier 138 Keys Retro Brown Gray PBT Keycap, 1 Set   , $18.10         , https://www.aliexpress.com/item/1005007360831985.html?spm=a2g0o.productlist.main.2.4697JKf1JKf1yJ&algo_pvid=c9dec87a-8875-4b37-b0db-b40683132bd8&pdp_ext_f=%7B%22order%22%3A%22990%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A
Type C USB Cable                           , 1       , $8.88          , https://www.aliexpress.com/item/1005007219379988.html?spm=a2g0o.productlist.main.1.6fe35aae6YaozZ&algo_pvid=bd6baa45-7fa2-429f-885d-405018f05c45&pdp_ext_f=%7B%22order%22%3A%225611%22%2C%22eval%22%3A%221%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A
PCB                                        , 5       , $40.91         , https://hc-cdn.hel1.your-objectstorage.com/s/v3/e6182bc7de8832e0afef53c0e265b3b55082fabc_image.png
Top Case                                   , 1       , Printing Legion,                                                                                                                                                                                                                                                            , 
Bottom Case                                , 1       , Printing Legion,                                                                                                                                                                                                                                                            , 
